날짜,시가,고가,저가,종가,거래량,등락률,EMA_short,EMA_long,MACD,MACD_Signal,RSI,RSI_Signal
2018-10-26,65100,67100,62900,67000,6211406,3.554868624420402,68860.37779280839,71386.49178533243,-2526.1139925240423,-2334.083193422896,42.53393665158371,37.326487769318575
2018-10-29,66600,67800,64800,66800,4252977,-0.2985074626865672,68543.39659391479,71046.75165308558,-2503.35505917079,-2367.9375665724747,39.719626168224295,37.80511544909972
2018-10-30,66000,70900,65900,68200,6101533,2.095808383233533,68490.56634869713,70835.88116026443,-2345.3148115672957,-2363.4130155714392,45.205479452054796,39.28518824969074
2018-10-31,69300,70400,67600,68200,5038931,0.0,68445.86383351295,70640.63070394854,-2194.766870435589,-2329.6837865442694,48.05825242718446,41.03980108518949
2018-11-01,68900,69600,67800,68300,3218076,0.1466275659824047,68423.42324374172,70467.2506518042,-2043.8274080624833,-2272.5125108479124,38.15028901734104,40.46189867161981
2018-11-02,70600,72800,69100,72600,5334082,6.295754026354319,69065.9735139353,70625.2320850039,-1559.2585710685962,-2129.8617228920493,55.89743589743589,43.54900611678302
2018-11-05,72000,72100,70100,70500,3389386,-2.8925619834710745,69286.59297332987,70615.95563426286,-1329.362660932995,-1969.7619105002386,51.904761904761905,45.2201572743788
2018-11-06,70500,70600,69100,70100,2624868,-0.5673758865248227,69411.7325158945,70577.73669839154,-1166.0041824970394,-1809.010364899599,49.275362318840585,46.03119828327116
2018-11-07,70400,72300,70100,70800,3770119,0.9985734664764622,69625.31212883382,70594.20064665884,-968.8885178250202,-1640.9859954846831,55.32994923857867,47.89094847433266
2018-11-08,72900,73300,72600,72900,3930969,2.9661016949152543,70129.11026285938,70765.00059875818,-635.8903358988027,-1439.966863567507,55.32994923857867,49.378748627181864
2018-11-09,72400,73600,71900,72900,3414946,0.0,70555.40099165024,70923.14870255388,-367.74771090364084,-1225.5230330347338,57.67195767195767,51.03739043613703
2018-11-12,72200,74500,71800,74500,3328433,2.194787379972565,71162.2623775502,71188.10065051285,-25.838272962646442,-985.5860810203163,63.775510204081634,53.585014389725956
2018-11-13,72300,72500,69900,71900,4730929,-3.48993288590604,71275.7604733117,71240.83393566005,34.92653765165596,-781.483557285922,63.131313131313135,55.494274138043394
2018-11-14,71400,72100,70200,70400,2783377,-2.086230876216968,71141.02809280221,71178.54994042598,-37.52184762376419,-632.6912153534905,64.76683937823834,57.34878718608239
2018-11-15,70800,71800,70400,71800,1564647,1.9886363636363635,71242.40838621726,71224.58327817221,17.825108045042725,-502.5879506737839,63.04347826086957,58.48772540103983
2018-11-16,72600,72900,70000,70100,2894513,-2.3676880222841223,71066.65324987614,71141.28081312243,-74.627563246293,-416.99587318828577,58.291457286432156,58.4484717781183
2018-11-19,69600,70500,68900,69800,2303677,-0.42796005706134094,70871.78351912597,71041.92667881706,-170.14315969109884,-367.62533048884836,54.25531914893617,57.609841252281875
2018-11-20,67000,68200,67000,67500,3325563,-3.29512893982808,70353.04759310659,70779.56173964543,-426.5141465388442,-379.40309369884756,48.341232227488156,55.75611944732313
2018-11-21,66900,68300,66100,68100,3100596,0.8888888888888888,70006.42488647481,70581.07568485687,-574.6507983820629,-418.45263463549065,49.53703703703704,54.51230296526592
2018-11-22,68100,69700,68000,69300,1966126,1.762114537444934,69897.74413470946,70486.18118968229,-588.4370549728337,-452.44951870295927,41.08108108108108,51.82605858842896
2018-11-23,69500,69700,68400,69300,1499166,0.0,69805.78349860031,70398.31591637249,-592.5324177721777,-480.46609851680296,46.34146341463415,50.729139553669995
2018-11-26,69200,71300,69000,70900,2361766,2.3088023088023086,69974.12449881565,70435.4777003449,-461.35320152924396,-476.6435191192912,52.272727272727266,51.03785709748145
2018-11-27,71100,71200,69700,70800,2293763,-0.14104372355430184,70101.18226822863,70462.4793521712,-361.29708394256886,-453.57423208394675,50.0,50.83028567798516
2018-11-28,71000,72000,70700,71900,2441991,1.5536723163841808,70377.92345773191,70568.96236312148,-191.0389053895633,-401.0671667450701,46.875,50.03922854238813
2018-11-29,73700,73700,71200,71500,3270078,-0.5563282336578581,70550.55061808086,70637.92811400136,-87.37749592050386,-338.3292325801569,45.73170731707317,49.17772429732514
2018-11-30,71500,71600,68800,69600,4167055,-2.6573426573426575,70404.31206145303,70561.04455000127,-156.7324885482376,-302.009883773773,35.32934131736526,46.408047701333174
2018-12-03,71000,71100,69800,70500,2760290,1.293103448275862,70419.03328276795,70556.52273148266,-137.4894487147103,-269.1057967619605,45.333333333333336,46.19310482773321
2018-12-04,69900,70400,68400,69000,3222060,-2.127659574468085,70200.72047003442,70441.22475137284,-240.5042813384207,-263.38549367725255,45.333333333333336,46.02115052885324
2018-12-05,67200,68800,67200,68200,3008950,-1.1594202898550725,69892.91732079835,70275.20810312299,-382.2907823246351,-287.16655140672907,37.5,44.31692042308259
2018-12-06,67800,68200,65700,66000,3902275,-3.225806451612903,69294.00696375246,69958.52602141017,-664.5190576577152,-362.6370526569263,36.241610738255034,42.70185848611708
2018-12-07,66700,67400,66600,66800,2590733,1.2121212121212122,68910.31358471361,69724.56113093534,-814.2475462217262,-452.9591513698863,40.259740259740255,42.21343484084172
2018-12-10,65900,65900,64700,65500,2206084,-1.9461077844311379,68385.64995629614,69411.63067679197,-1025.9807204958342,-567.5634651950759,43.05555555555556,42.38185898378449
2018-12-11,66000,66600,64800,64900,2457332,-0.9160305343511451,67849.39611686596,69077.43581184442,-1228.0396949784626,-699.6587111517532,38.888888888888886,41.683264964805375
2018-12-12,65000,66200,64900,66200,2901875,2.0030816640986133,67595.64286811736,68864.29241837446,-1268.6495502571051,-813.4568789728236,39.31034482758621,41.20868093736155
2018-12-13,66300,66400,64800,65500,4062323,-1.0574018126888218,67273.23627302237,68615.08557256895,-1341.8492995465785,-919.1353630875747,37.5,40.466944749889244
2018-12-14,65200,65300,61200,61800,5617675,-5.648854961832061,66431.19992332663,68110.26441904533,-1679.0644957187033,-1071.1211896138004,23.69942196531791,37.11344019297498
2018-12-17,61600,62500,61000,62200,2506287,0.6472491909385114,65780.24608896868,67672.4670546716,-1892.2209657029161,-1235.3411448316238,25.568181818181813,34.804388518016346
2018-12-18,61000,61900,60800,61100,3098206,-1.7684887459807075,65060.20822912734,67185.61764321444,-2125.409414087102,-1413.3547986827195,19.318181818181813,31.707147178049443
2018-12-19,60800,61000,59700,60300,3561783,-1.309328968903437,64327.86850156929,66675.57189186523,-2347.7033902959374,-1600.2245170053632,18.888888888888886,29.143495520217336
2018-12-20,59300,59400,58100,58600,4889709,-2.8192371475953566,63446.657962866324,66077.3813813567,-2630.723418490372,-1806.3242973023648,19.101123595505626,27.135021135274997
2018-12-21,58200,60500,58200,60000,3946994,2.3890784982935154,62916.40289165612,65627.20498273768,-2710.802091081554,-1987.2198560582028,21.311475409836063,25.970311990187213
2018-12-24,59600,60700,59200,60400,2101703,0.6666666666666667,62529.26398524749,65240.00461364599,-2710.7406283985038,-2131.9240105262634,25.000000000000014,25.776249592149775
2018-12-26,59400,60800,59300,60100,2455060,-0.49668874172185434,62155.53106444019,64859.2635311537,-2703.732466713511,-2246.285701763713,25.74850299401197,25.770700272522216
2018-12-27,61600,61900,60600,61600,3047798,2.4958402662229617,62070.06474683401,64617.83660292009,-2547.7718560860812,-2306.582932628187,36.25,27.866560218017774
2018-12-28,61700,62300,60500,60500,1647462,-1.7857142857142856,61828.51632424416,64312.81166937046,-2484.2953451262947,-2342.1254151278085,30.674846625766875,28.428217499567594
2019-01-02,61300,61400,60000,60600,1934295,0.1652892561983471,61639.513812821984,64037.78858275043,-2398.2747699284446,-2353.355286087936,33.7748344370861,29.497540887071295
2019-01-03,60200,60300,57500,57700,3337621,-4.785478547854786,61033.43476469553,63568.32276180595,-2534.887997110425,-2389.6618282924337,29.310344827586206,29.46010167517428
2019-01-04,57500,58500,56700,58300,3388087,1.0398613518197575,60612.90633935775,63178.07663130181,-2565.1702919440577,-2424.7635210227586,26.34730538922156,28.837542417983737
2019-01-07,59000,59700,58400,58700,2273750,0.6861063464837049,60318.61305637963,62846.367251205374,-2527.754194825742,-2445.3616557833557,29.268292682926827,28.923692470972355
2019-01-08,57900,60500,57600,59200,3062192,0.8517887563884157,60146.51874001353,62576.265973338304,-2429.7472333247715,-2442.238771291639,40.151515151515156,31.169257007080915
2019-01-09,59600,63800,59400,63600,4928656,7.4324324324324325,60677.82354924222,62652.098123461394,-1974.2745742191764,-2348.6459318771467,54.06976744186046,35.749359094036826
